,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
9,shh_15.0_06_285_D,FVB,536,15,285,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,285FD
20,shh_15.0_08_259_FD,FVB,531,15,259,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,259FD
21,shh_15.0_08_259_FD,FVB,532,15,259,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,259FD
150,shh_15.0_09_285_FD,FVB,535,15,285,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,y,331,285FD
151,shh_15.0_09_285_FD,FVB,536,15,285,FD,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,y,331,285FD
127,shh_16.0_01_356_E,FVB,580,16,356,FE,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,356FE
118,shh_16.0_02_402_E,FVB,582,16,402,FE,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,402FE
176,shh_16.0_03_437_E,FVB,586,16,437,FE,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,Y,331,437FE
141,shh_16.0_04_394_F,FVB,581,16,394,FF,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,394FF
197,shh_16.0_05_416_F,FVB,585,16,416,FF,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,y,331,416FF
114,shh_16.0_06_404_F,FVB,583,16,404,FF,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,y,331,404FF
14,shh_13.5_05_86_I,FVB,639,13.5,86,FI,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,86FI
28,shh_13.5_06_109_I,FVB,642,13.5,109,FI,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,109FI
54,shh_13.5_07_136_I,FVB,645,13.5,136,FI,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,136FI
52,shh_14.0_07_130_FJ,FVB,370,14,130,FJ,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,Y,143,130FJ
